x,y,north,south,east,west
0,0,40.502347650974826,40.48846518521376,-74.26116525841039,-74.27971341040893
0,1,40.51623011673589,40.502347650974826,-74.26116525841039,-74.27971341040893
0,2,40.53011258249695,40.51623011673589,-74.26116525841039,-74.27971341040893
0,3,40.54399504825801,40.53011258249695,-74.26116525841039,-74.27971341040893
0,4,40.557877514019076,40.54399504825801,-74.26116525841039,-74.27971341040893
0,5,40.57175997978014,40.557877514019076,-74.26116525841039,-74.27971341040893
0,6,40.585642445541204,40.57175997978014,-74.26116525841039,-74.27971341040893
0,7,40.59952491130226,40.585642445541204,-74.26116525841039,-74.27971341040893
0,8,40.613407377063325,40.59952491130226,-74.26116525841039,-74.27971341040893
0,9,40.62728984282439,40.613407377063325,-74.26116525841039,-74.27971341040893
0,10,40.64117230858545,40.62728984282439,-74.26116525841039,-74.27971341040893
0,11,40.65505477434652,40.64117230858545,-74.26116525841039,-74.27971341040893
0,12,40.668937240107574,40.65505477434652,-74.26116525841039,-74.27971341040893
0,13,40.68281970586864,40.668937240107574,-74.26116525841039,-74.27971341040893
0,14,40.6967021716297,40.68281970586864,-74.26116525841039,-74.27971341040893
0,15,40.71058463739077,40.6967021716297,-74.26116525841039,-74.27971341040893
0,16,40.72446710315183,40.71058463739077,-74.26116525841039,-74.27971341040893
0,17,40.73834956891289,40.72446710315183,-74.26116525841039,-74.27971341040893
0,18,40.75223203467395,40.73834956891289,-74.26116525841039,-74.27971341040893
0,19,40.766114500435016,40.75223203467395,-74.26116525841039,-74.27971341040893
0,20,40.77999696619608,40.766114500435016,-74.26116525841039,-74.27971341040893
0,21,40.793879431957144,40.77999696619608,-74.26116525841039,-74.27971341040893
0,22,40.8077618977182,40.793879431957144,-74.26116525841039,-74.27971341040893
0,23,40.821644363479265,40.8077618977182,-74.26116525841039,-74.27971341040893
0,24,40.83552682924033,40.821644363479265,-74.26116525841039,-74.27971341040893
0,25,40.849409295001394,40.83552682924033,-74.26116525841039,-74.27971341040893
0,26,40.86329176076246,40.849409295001394,-74.26116525841039,-74.27971341040893
0,27,40.877174226523515,40.86329176076246,-74.26116525841039,-74.27971341040893
0,28,40.89105669228458,40.877174226523515,-74.26116525841039,-74.27971341040893
0,29,40.90493915804564,40.89105669228458,-74.26116525841039,-74.27971341040893
1,0,40.502347650974826,40.48846518521376,-74.24261710641186,-74.26116525841039
1,1,40.51623011673589,40.502347650974826,-74.24261710641186,-74.26116525841039
1,2,40.53011258249695,40.51623011673589,-74.24261710641186,-74.26116525841039
1,3,40.54399504825801,40.53011258249695,-74.24261710641186,-74.26116525841039
1,4,40.557877514019076,40.54399504825801,-74.24261710641186,-74.26116525841039
1,5,40.57175997978014,40.557877514019076,-74.24261710641186,-74.26116525841039
1,6,40.585642445541204,40.57175997978014,-74.24261710641186,-74.26116525841039
1,7,40.59952491130226,40.585642445541204,-74.24261710641186,-74.26116525841039
1,8,40.613407377063325,40.59952491130226,-74.24261710641186,-74.26116525841039
1,9,40.62728984282439,40.613407377063325,-74.24261710641186,-74.26116525841039
1,10,40.64117230858545,40.62728984282439,-74.24261710641186,-74.26116525841039
1,11,40.65505477434652,40.64117230858545,-74.24261710641186,-74.26116525841039
1,12,40.668937240107574,40.65505477434652,-74.24261710641186,-74.26116525841039
1,13,40.68281970586864,40.668937240107574,-74.24261710641186,-74.26116525841039
1,14,40.6967021716297,40.68281970586864,-74.24261710641186,-74.26116525841039
1,15,40.71058463739077,40.6967021716297,-74.24261710641186,-74.26116525841039
1,16,40.72446710315183,40.71058463739077,-74.24261710641186,-74.26116525841039
1,17,40.73834956891289,40.72446710315183,-74.24261710641186,-74.26116525841039
1,18,40.75223203467395,40.73834956891289,-74.24261710641186,-74.26116525841039
1,19,40.766114500435016,40.75223203467395,-74.24261710641186,-74.26116525841039
1,20,40.77999696619608,40.766114500435016,-74.24261710641186,-74.26116525841039
1,21,40.793879431957144,40.77999696619608,-74.24261710641186,-74.26116525841039
1,22,40.8077618977182,40.793879431957144,-74.24261710641186,-74.26116525841039
1,23,40.821644363479265,40.8077618977182,-74.24261710641186,-74.26116525841039
1,24,40.83552682924033,40.821644363479265,-74.24261710641186,-74.26116525841039
1,25,40.849409295001394,40.83552682924033,-74.24261710641186,-74.26116525841039
1,26,40.86329176076246,40.849409295001394,-74.24261710641186,-74.26116525841039
1,27,40.877174226523515,40.86329176076246,-74.24261710641186,-74.26116525841039
1,28,40.89105669228458,40.877174226523515,-74.24261710641186,-74.26116525841039
1,29,40.90493915804564,40.89105669228458,-74.24261710641186,-74.26116525841039
2,0,40.502347650974826,40.48846518521376,-74.22406895441331,-74.24261710641186
2,1,40.51623011673589,40.502347650974826,-74.22406895441331,-74.24261710641186
2,2,40.53011258249695,40.51623011673589,-74.22406895441331,-74.24261710641186
2,3,40.54399504825801,40.53011258249695,-74.22406895441331,-74.24261710641186
2,4,40.557877514019076,40.54399504825801,-74.22406895441331,-74.24261710641186
2,5,40.57175997978014,40.557877514019076,-74.22406895441331,-74.24261710641186
2,6,40.585642445541204,40.57175997978014,-74.22406895441331,-74.24261710641186
2,7,40.59952491130226,40.585642445541204,-74.22406895441331,-74.24261710641186
2,8,40.613407377063325,40.59952491130226,-74.22406895441331,-74.24261710641186
2,9,40.62728984282439,40.613407377063325,-74.22406895441331,-74.24261710641186
2,10,40.64117230858545,40.62728984282439,-74.22406895441331,-74.24261710641186
2,11,40.65505477434652,40.64117230858545,-74.22406895441331,-74.24261710641186
2,12,40.668937240107574,40.65505477434652,-74.22406895441331,-74.24261710641186
